feature_names
travail_domaine_1
travail_domaine_2
travail_domaine_3
travail_domaine_6
travail_domaine_8
travail_domaine_10
origines_ethniques
married
car_model
smoking
act_friends
act_volunteer
act_nature_1
style
maladies_15
maladies_16
maladies_19
maladies_20
maladies_21
maladies_22
autogestion_9
sommeil_1
chronotype
LatDec_3
SoutSup_6
quartier_domicile_3
quartier_opportunite
consult_who_3
consult_who_5
consult_who_6
nb_friends_dispo
issue_ai_data_3
